cluster_label,ra_deg_param,dec_deg_param,r_sun_display_param,r_gc_kpc_display_param,n_rv,n_pm,present_mass_display,v_mag_display,mass_to_light_display,core_radius_pc,half_light_radius_pc,half_mass_radius_pc,tidal_radius_pc,log_core_density,log_half_mass_density,log_relaxation_time_yr,log_initial_mass_msun,remaining_dissolution_time_gyr,mass_range_display,mf_slope_display,sigma0_kms,vesc_kms,eta_core,eta_half_mass,rotation_amplitude_display,rotation_probability_percent,r_sun_kpc_param,r_gc_kpc_param,present_mass_msun,v_mag,mass_to_light_v,mf_slope,rotation_amplitude_kms,ra_deg,dec_deg,galactic_l_deg,galactic_b_deg,r_sun_display,r_gc_kpc_display,rv_kms_display,pmra_masyr_display,pmdec_masyr_display,pm_correlation,x_kpc_display,y_kpc_display,z_kpc_display,u_kms_display,v_kms_display,w_kms_display,r_peri_kpc_display,r_apo_kpc_display,r_sun_kpc,r_gc_kpc,rv_kms,pmra_masyr,pmdec_masyr,x_kpc,y_kpc,z_kpc,u_kms,v_kms,w_kms,r_peri_kpc,r_apo_kpc,cluster_name,cluster_alias,semi_major_axis_kpc,eccentricity,initial_mass_msun,mass_loss_fraction,radius_bin_paper
Liller 1,263.35233,-33.38956,8.06 ± 0.34,0.74 ± 0.07,82,0,1.01 ± 0.16 · 106,15.73 ± 0.20,3.01 ± 0.74,0.18,1.3,2.42,38.87,6.2,4.01,8.95,7.2,2.0,—,0.21 ± 0.30,19.6,87.9,-0.38,-0.06,,,8.06,0.74,1010000.0,15.73,3.01,0.21,,263.352333,-33.389556,354.84,-0.161,8.06 ± 0.34,0.74 ± 0.07,60.36 ± 2.44,-5.183 ± 0.176,-6.979 ± 0.143,0.35,0.15 ± 0.34,-0.72 ± 0.03,-0.02 ± 0.00,-41.46 ± 2.48,-83.37 ± 5.81,28.07 ± 6.39,0.09 ± 0.04,0.85 ± 0.09,8.06,0.74,60.36,-5.183,-6.979,0.15,-0.72,-0.02,-41.46,-83.37,28.07,0.09,0.85,Liller 1,,0.47,0.8085106382978724,15848931.924611142,0.9362733082075005,inner_<3kpc
Ter 2,261.88792,-30.80233,7.75 ± 0.33,0.74 ± 0.16,11,70,8.05 ± 2.31 · 104,13.11 ± 0.10,1.35 ± 0.41,0.46,2.4,4.31,12.45,3.9,2.1,9.01,6.77,0.3,0.71 − 0.95,-0.96 ± 0.46,4.3,17.4,-0.4,-0.13,,,7.75,0.74,80500.0,13.11,1.35,-0.96,,261.887917,-30.802333,356.319,2.298,7.75 ± 0.33,0.74 ± 0.16,133.46 ± 0.69,-2.142 ± 0.030,-6.255 ± 0.027,0.21,0.45 ± 0.32,-0.50 ± 0.02,0.31 ± 0.01,-131.58 ± 0.70,9.08 ± 1.03,-49.50 ± 1.08,0.16 ± 0.03,0.86 ± 0.22,7.75,0.74,133.46,-2.142,-6.255,0.45,-0.5,0.31,-131.58,9.08,-49.5,0.16,0.86,Ter 2,,0.51,0.6862745098039215,5888436.5535558835,0.9863291385976829,inner_<3kpc
Ter 4,262.66251,-31.59553,7.59 ± 0.31,0.82 ± 0.20,7,48,1.81 ± 0.53 · 105,13.43 ± 0.27,2.55 ± 0.98,0.39,3.27,5.67,15.7,4.3,2.07,9.38,6.72,0.9,0.53 − 0.79,-1.58 ± 0.30,5.7,23.1,-0.4,-0.11,,,7.59,0.82,181000.0,13.43,2.55,-1.58,,262.662506,-31.595528,356.024,1.308,7.59 ± 0.31,0.82 ± 0.20,-48.96 ± 1.57,-5.364 ± 0.035,-3.674 ± 0.031,0.21,0.61 ± 0.31,-0.53 ± 0.02,0.17 ± 0.01,54.76 ± 1.56,39.76 ± 1.17,94.74 ± 1.22,0.19 ± 0.04,0.85 ± 0.19,7.59,0.82,-48.96,-5.364,-3.674,0.61,-0.53,0.17,54.76,39.76,94.74,0.19,0.85,Ter 4,,0.52,0.6346153846153845,5248074.602497723,0.9655111610048652,inner_<3kpc
Ter 6,267.69325,-31.27539,7.27 ± 0.35,0.97 ± 0.31,14,52,1.00 ± 0.21 · 105,14.47 ± 0.07,1.71 ± 0.11,0.39,1.05,1.91,13.89,4.44,3.24,8.32,6.66,0.5,0.64 − 0.85,0.73 ± 0.29,6.8,26.4,-0.35,-0.09,,,7.27,0.97,100000.0,14.47,1.71,0.73,,267.69325,-31.275389,358.571,-2.162,7.27 ± 0.35,0.97 ± 0.31,137.15 ± 1.70,-4.993 ± 0.052,-7.458 ± 0.045,0.26,0.91 ± 0.35,-0.18 ± 0.01,-0.27 ± 0.01,-141.03 ± 1.70,-60.00 ± 1.63,18.66 ± 1.73,0.20 ± 0.02,1.11 ± 0.39,7.27,0.97,137.15,-4.993,-7.458,0.91,-0.18,-0.27,-141.03,-60.0,18.66,0.2,1.11,Ter 6,,0.655,0.6946564885496184,4570881.8961487515,0.9781223837605045,inner_<3kpc
NGC 6528,271.2067,-30.05578,7.83 ± 0.24,0.70 ± 0.10,286,30,9.44 ± 0.91 · 104,9.71 ± 0.10,2.97 ± 0.40,0.27,2.45,5.01,10.98,4.43,1.96,9.03,6.33,1.1,0.52 − 0.84,-0.26 ± 0.22,4.6,19.0,-0.4,-0.07,,,7.83,0.7,94400.0,9.71,2.97,-0.26,,271.206697,-30.055778,1.139,-4.174,7.83 ± 0.24,0.70 ± 0.10,211.86 ± 0.43,-2.173 ± 0.021,-5.643 ± 0.019,0.13,0.37 ± 0.24,0.16 ± 0.00,-0.57 ± 0.02,-224.49 ± 0.43,34.20 ± 0.73,-39.40 ± 0.76,0.43 ± 0.07,0.92 ± 0.28,7.83,0.7,211.86,-2.173,-5.643,0.37,0.16,-0.57,-224.49,34.2,-39.4,0.43,0.92,NGC 6528,,0.675,0.362962962962963,2137962.0895022326,0.9558458026624885,inner_<3kpc
NGC 6440,267.22017,-20.36042,8.25 ± 0.24,1.23 ± 0.03,220,149,5.69 ± 0.45 · 105,8.97 ± 0.13,1.81 ± 0.26,0.37,1.32,2.8,33.88,5.1,3.49,9.01,6.79,3.0,0.52 − 0.85,-0.34 ± 0.21,14.0,55.6,-0.38,-0.1,3.93 ± 2.74,87.5,8.25,1.23,569000.0,8.97,1.81,-0.34,3.93,267.220167,-20.360417,7.729,3.801,8.25 ± 0.24,1.23 ± 0.03,-69.39 ± 0.93,-1.189 ± 0.024,-4.004 ± 0.024,0.34,0.02 ± 0.24,1.11 ± 0.03,0.55 ± 0.02,33.58 ± 0.93,86.46 ± 0.94,-37.51 ± 0.94,0.21 ± 0.07,1.26 ± 0.06,8.25,1.23,-69.39,-1.189,-4.004,0.02,1.11,0.55,33.58,86.46,-37.51,0.21,1.26,NGC 6440,,0.735,0.7142857142857143,6165950.018614822,0.9077190054602768,inner_<3kpc
NGC 6558,272.57397,-31.76451,7.79 ± 0.18,0.93 ± 0.06,25,1218,3.13 ± 0.10 · 104,9.66 ± 0.06,1.27 ± 0.08,0.15,1.54,1.96,8.94,4.83,2.69,8.09,6.2,0.5,0.37 − 0.80,1.53 ± 0.15,4.1,16.7,-0.38,-0.15,,,7.79,0.93,31300.0,9.66,1.27,1.53,,272.573974,-31.764508,0.199,-6.023,7.79 ± 0.18,0.93 ± 0.06,-195.12 ± 0.73,-1.752 ± 0.017,-4.167 ± 0.016,0.06,0.44 ± 0.18,0.03 ± 0.00,-0.82 ± 0.02,184.04 ± 0.73,85.48 ± 0.60,11.86 ± 0.62,0.55 ± 0.04,1.10 ± 0.16,7.79,0.93,-195.12,-1.752,-4.167,0.44,0.03,-0.82,184.04,85.48,11.86,0.55,1.1,NGC 6558,,0.8250000000000001,0.3333333333333333,1584893.1924611141,0.98025103511777,inner_<3kpc
Djor 2 ESO 456-SC38,270.45438,-27.82582,8.76 ± 0.18,0.80 ± 0.13,24,52,1.34 ± 0.24 · 105,10.70 ± 0.11,3.89 ± 0.79,1.31,4.64,6.48,15.43,2.93,1.8,9.31,6.22,2.2,0.59 − 0.78,-1.54 ± 0.27,3.9,15.4,-0.4,-0.08,,,8.76,0.8,134000.0,10.7,3.89,-1.54,,270.454378,-27.825819,2.763,-2.508,8.76 ± 0.18,0.80 ± 0.13,-149.75 ± 1.10,0.720 ± 0.021,-3.003 ± 0.018,0.01,-0.57 ± 0.18,0.42 ± 0.01,-0.38 ± 0.01,137.64 ± 1.10,151.13 ± 0.79,-73.65 ± 0.86,0.74 ± 0.07,0.92 ± 0.10,8.76,0.8,-149.75,0.72,-3.003,-0.57,0.42,-0.38,137.64,151.13,-73.65,0.74,0.92,Djor 2 ESO 456-SC38,,0.8300000000000001,0.10843373493975905,1659586.9074375597,0.919257015466036,inner_<3kpc
NGC 6624,275.91879,-30.36103,8.02 ± 0.11,1.20 ± 0.01,2552,2526,1.03 ± 0.02 · 105,8.03 ± 0.07,1.37 ± 0.09,0.19,1.7,2.25,16.82,5.25,3.02,8.4,6.41,0.9,0.28 − 0.82,0.66 ± 0.16,7.0,28.0,-0.35,-0.06,0.87 ± 1.04,46.7,8.02,1.2,103000.0,8.03,1.37,0.66,0.87,275.918793,-30.361029,2.788,-7.913,8.02 ± 0.11,1.20 ± 0.01,54.79 ± 0.40,0.127 ± 0.014,-6.956 ± 0.014,-0.01,0.24 ± 0.11,0.39 ± 0.01,-1.10 ± 0.01,-59.64 ± 0.40,20.64 ± 0.52,-122.99 ± 0.53,0.32 ± 0.02,1.36 ± 0.02,8.02,1.2,54.79,0.127,-6.956,0.24,0.39,-1.1,-59.64,20.64,-122.99,0.32,1.36,NGC 6624,,0.8400000000000001,0.619047619047619,2570395.7827688647,0.9599283500655891,inner_<3kpc
NGC 6522,270.89196,-30.03397,7.29 ± 0.21,1.04 ± 0.17,851,60,2.14 ± 0.11 · 105,8.28 ± 0.03,2.46 ± 0.15,0.39,2.48,3.15,15.36,4.62,2.91,8.85,6.4,2.6,0.43 − 0.78,0.25 ± 0.21,8.2,32.4,-0.35,-0.09,1.43 ± 2.21,24.4,7.29,1.04,214000.0,8.28,2.46,0.25,1.43,270.891958,-30.033974,1.025,-3.926,7.29 ± 0.21,1.04 ± 0.17,-15.23 ± 0.49,2.586 ± 0.014,-6.432 ± 0.014,0.29,0.90 ± 0.21,0.13 ± 0.00,-0.50 ± 0.01,14.18 ± 0.49,101.30 ± 0.48,-177.94 ± 0.49,0.44 ± 0.13,1.30 ± 0.15,7.29,1.04,-15.23,2.586,-6.432,0.9,0.13,-0.5,14.18,101.3,-177.94,0.44,1.3,NGC 6522,,0.87,0.49425287356321845,2511886.4315095823,0.9148050655015516,inner_<3kpc
