source_name_updated,local_feh,mgfe_apo,mgfe_err_apo,mgfe_other,mgfe_err_other,alfe_apo,alfe_err_apo,alfe_other,alfe_err_other,cluster_name,cluster_name_key,mgfe_combined,mgfe_combined_err,mgfe_combined_source,mgfe_offset_dex,mgfe_offset_scatter_dex,alfe_combined,alfe_combined_err,alfe_combined_source,alfe_offset_dex,alfe_offset_scatter_dex
2MASS-GC01,-1.19,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,0.0,2MASS-GC01,2MASS-GC01,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
2MASS-GC02,-1.08,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,0.0,2MASS-GC02,2MASS-GC02,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
AM 1,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AM 1,AM 1,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
AM 4,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AM 4,AM 4,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
Arp 2,-1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arp 2,ARP 2,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
BH 140,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,0.0,BH 140,BH 140,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
BH 261,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BH 261,BH 261,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
Crater,-1.68,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,0.0,Crater,CRATER,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
Djorg 1,-1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Djorg 1,DJORG 1,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
Djorg 2,-0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Djorg 2,DJORG 2,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
E 3,-0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E 3,E 3,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
ESO 280-SC06,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESO 280-SC06,ESO 280-SC06,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
ESO 452-SC11,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESO 452-SC11,ESO 452-SC11,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
Eridanus,-1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eridanus,ERIDANUS,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
FSR 1716,-1.38,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,0.0,FSR 1716,FSR 1716,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
FSR 1735,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FSR 1735,FSR 1735,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
FSR 1758,-1.58,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,0.0,FSR 1758,FSR 1758,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
Gran 1,-1.19,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,0.0,Gran 1,GRAN 1,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
Gran 2,-2.21,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,0.0,Gran 2,GRAN 2,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
Gran 3,-2.33,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,0.0,Gran 3,GRAN 3,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
Gran 5,-1.56,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,0.0,Gran 5,GRAN 5,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
HP 1,-1.0,0.21393299,0.023831047,0.36,0.05,0.40823102,0.13589776,0.04,0.06,HP 1,HP 1,0.21393299102783203,0.023831047117710114,APOGEE,0.14984245598316193,0.06443310606479645,0.4082310199737549,0.13589775562286377,APOGEE,0.2481590360403061,0.19696341922581195
IC 1257,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IC 1257,IC 1257,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
IC 1276,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IC 1276,IC 1276,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
IC 4499,-1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IC 4499,IC 4499,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
Laevens 3,-1.8,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,0.0,Laevens 3,LAEVENS 3,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
Liller 1,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liller 1,LILLER 1,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
Lynga 7,-1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lynga 7,LYNGA 7,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
NGC 104,-0.72,0.33693308,0.001933132,0.0,0.0,0.30260098,0.0056082094,0.0,0.0,NGC 104,NGC 104,0.33693307638168335,0.001933131949044764,APOGEE,0.14984245598316193,0.06443310606479645,0.3026009798049927,0.0056082094088196754,APOGEE,0.2481590360403061,0.19696341922581195
NGC 1261,-1.27,0.0,0.0,0.41,0.01,0.0,0.0,0.12,0.07,NGC 1261,NGC 1261,0.2601575255393982,0.06520448625087738,literature,0.14984245598316193,0.06443310606479645,-0.1281590461730957,0.20903250575065613,literature,0.2481590360403061,0.19696341922581195
NGC 1851,-1.18,0.18410301,0.0075290627,0.35,0.008320503,0.01672101,0.049368568,0.13,0.05824352,NGC 1851,NGC 1851,0.18410301208496094,0.007529062684625387,APOGEE,0.14984245598316193,0.06443310606479645,0.016721010208129883,0.049368567764759064,APOGEE,0.2481590360403061,0.19696341922581195
NGC 1904,-1.6,0.11275494,0.016794303,0.0,0.0,0.23368096,0.123871975,0.0,0.0,NGC 1904,NGC 1904,0.1127549409866333,0.016794303432106972,APOGEE,0.14984245598316193,0.06443310606479645,0.23368096351623535,0.12387197464704514,APOGEE,0.2481590360403061,0.19696341922581195
NGC 2298,-1.92,0.19087303,0.033802617,0.0,0.0,-0.2718191,0.043312557,-0.0,0.0,NGC 2298,NGC 2298,0.19087302684783936,0.033802617341279984,APOGEE,0.14984245598316193,0.06443310606479645,-0.2718191146850586,0.04331255704164505,APOGEE,0.2481590360403061,0.19696341922581195
NGC 2419,-2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NGC 2419,NGC 2419,,,,0.14984245598316193,0.06443310606479645,,,,0.2481590360403061,0.19696341922581195
NGC 2808,-1.14,0.11886299,0.008399369,0.26,0.028736848,0.05748105,0.033974122,0.46,0.08441449,NGC 2808,NGC 2808,0.11886298656463623,0.008399369195103645,APOGEE,0.14984245598316193,0.06443310606479645,0.05748105049133301,0.03397412225604057,APOGEE,0.2481590360403061,0.19696341922581195
NGC 288,-1.32,0.27849305,0.0058264406,0.0,0.0,0.14384091,0.02400216,0.0,0.0,NGC 288,NGC 288,0.2784930467605591,0.005826440639793873,APOGEE,0.14984245598316193,0.06443310606479645,0.14384090900421143,0.024002160876989365,APOGEE,0.2481590360403061,0.19696341922581195
NGC 3201,-1.59,0.18526304,0.004687622,0.26,0.03,-0.27871907,0.010399863,-0.15,-0.08,NGC 3201,NGC 3201,0.1852630376815796,0.0046876221895217896,APOGEE,0.14984245598316193,0.06443310606479645,-0.27871906757354736,0.010399863123893738,APOGEE,0.2481590360403061,0.19696341922581195
