source_name_updated,origin_flag,progenitor_group,ra_deg,dec_deg,cluster_name,cluster_name_key,origin_label,is_in_situ,is_accreted,source_name_pinsitu,legacy_origin_flag,legacy_insitu_prob
2MASS-GC01,1,XXX,272.09085,-19.82972,2MASS-GC01,2MASS-GC01,in_situ,True,False,,,
2MASS-GC02,1,XXX,272.4021,-20.77889,2MASS-GC02,2MASS-GC02,in_situ,True,False,,,
AM 1,0,H-E,58.75959,-49.61528,AM 1,AM 1,accreted,False,True,AM 1,0,0.013993468702980289
AM 4,0,XXX,209.08907,-27.16517,AM 4,AM 4,accreted,False,True,,,
Arp 2,0,Sag,292.18381,-30.35564,Arp 2,ARP 2,accreted,False,True,Arp 2,0,0.023243864851103385
BH 140,1,nan,193.47292,-67.17728,BH 140,BH 140,in_situ,True,False,,,
BH 261,1,M-B,273.5275,-28.635,BH 261,BH 261,in_situ,True,False,,,
Crater,0,H-E,174.06875,-10.87697,Crater,CRATER,accreted,False,True,,,
Djorg 1,1,G-E,266.86958,-33.06639,Djorg 1,DJORG 1,in_situ,True,False,Djorg 1,1,0.9963035004170526
Djorg 2,1,M-B,270.45438,-27.82582,Djorg 2,DJORG 2,in_situ,True,False,Djorg 2,1,0.9911030579724603
E 3,1,H99?,140.23779,-77.28189,E 3,E 3,in_situ,True,False,E 3,1,0.9856895798535361
ESO 280-SC06,0,G-E,272.275,-46.42333,ESO 280-SC06,ESO 280-SC06,accreted,False,True,,,
ESO 452-SC11,1,M-B,249.85417,-28.39917,ESO 452-SC11,ESO 452-SC11,in_situ,True,False,,,
Eridanus,0,H-E,66.18561,-21.18678,Eridanus,ERIDANUS,accreted,False,True,Eridanus,0,0.027676229471292793
FSR 1716,1,M-D,242.625,-53.74889,FSR 1716,FSR 1716,in_situ,True,False,,,
FSR 1735,1,L-E,253.04417,-47.05806,FSR 1735,FSR 1735,in_situ,True,False,,,
FSR 1758,0,Seq,262.8,-39.808,FSR 1758,FSR 1758,accreted,False,True,,,
Gran 1,1,nan,269.651,-32.02,Gran 1,GRAN 1,in_situ,True,False,,,
Gran 2,1,nan,257.89,-24.849,Gran 2,GRAN 2,in_situ,True,False,,,
Gran 3,1,nan,256.256,-35.496,Gran 3,GRAN 3,in_situ,True,False,,,
Gran 5,1,nan,267.228,-24.17,Gran 5,GRAN 5,in_situ,True,False,,,
HP 1,1,M-B,262.77167,-29.98167,HP 1,HP 1,in_situ,True,False,HP 1,1,0.9862464700628306
IC 1257,0,G-E,261.78543,-7.09306,IC 1257,IC 1257,accreted,False,True,IC 1257,0,0.04336936699039269
IC 1276,1,M-D,272.68444,-7.2076,IC 1276,IC 1276,in_situ,True,False,IC 1276,1,0.9960210620449571
IC 4499,0,Seq,225.07719,-82.21379,IC 4499,IC 4499,accreted,False,True,IC 4499,0,0.05055464855263035
Laevens 3,0,nan,316.7267,14.9805,Laevens 3,LAEVENS 3,accreted,False,True,,,
Liller 1,1,XXX,263.35233,-33.38956,Liller 1,LILLER 1,in_situ,True,False,Liller 1,1,0.9953092103968669
Lynga 7,1,M-D,242.76521,-55.31778,Lynga 7,LYNGA 7,in_situ,True,False,Lynga 7,1,0.9960210620449571
NGC 104,1,M-D,6.02379,-72.08131,NGC 104,NGC 104,in_situ,True,False,NGC 104,1,0.9993573544490282
NGC 1261,0,G-E,48.06754,-55.21622,NGC 1261,NGC 1261,accreted,False,True,NGC 1261,0,0.036904070907592554
NGC 1851,0,G-E,78.52816,-40.04655,NGC 1851,NGC 1851,accreted,False,True,NGC 1851,0,0.04336936699039269
NGC 1904,0,G-E,81.04584,-24.52442,NGC 1904,NGC 1904,accreted,False,True,NGC 1904,0,0.04439004354296188
NGC 2298,0,G-E,102.24754,-36.00531,NGC 2298,NGC 2298,accreted,False,True,NGC 2298,0,0.10902123272567997
NGC 2419,0,Sag,114.53529,38.88194,NGC 2419,NGC 2419,accreted,False,True,NGC 2419,1,0.7627213295701823
NGC 2808,0,G-E,138.01291,-64.86349,NGC 2808,NGC 2808,accreted,False,True,NGC 2808,0,0.31247734136068883
NGC 288,0,G-E,13.1885,-26.58261,NGC 288,NGC 288,accreted,False,True,NGC 288,0,0.16209513589408425
NGC 3201,0,Seq/G-E,154.40343,-46.41248,NGC 3201,NGC 3201,accreted,False,True,NGC 3201,0,0.12032163646543652
NGC 362,0,G-E,15.80942,-70.84878,NGC 362,NGC 362,accreted,False,True,NGC 362,0,0.20302321567657136
NGC 4147,0,G-E,182.52626,18.54264,NGC 4147,NGC 4147,accreted,False,True,NGC 4147,0,0.01788135713836259
NGC 4372,1,M-D,186.4391,-72.65908,NGC 4372,NGC 4372,in_situ,True,False,NGC 4372,1,0.9963882848599984
NGC 4590,0,H99,189.86658,-26.74406,NGC 4590,NGC 4590,accreted,False,True,NGC 4590,0,0.007464419565195705
NGC 4833,1,G-E,194.89134,-70.8765,NGC 4833,NGC 4833,in_situ,True,False,NGC 4833,1,0.9665065738251992
NGC 5024,0,H99,198.23021,18.16817,NGC 5024,NGC 5024,accreted,False,True,NGC 5024,0,0.06788969279588679
NGC 5053,0,H99,199.11288,17.70025,NGC 5053,NGC 5053,accreted,False,True,NGC 5053,0,0.03519508415982363
NGC 5139,1,G-E/Seq,201.69699,-47.47947,NGC 5139,NGC 5139,in_situ,True,False,NGC 5139,1,0.9613645169541708
NGC 5272,0,H99,205.54842,28.37728,NGC 5272,NGC 5272,accreted,False,True,NGC 5272,0,0.18810791152804
NGC 5286,0,G-E,206.61171,-51.37425,NGC 5286,NGC 5286,accreted,False,True,NGC 5286,0,0.15433058234183866
NGC 5466,0,Seq,211.36371,28.53444,NGC 5466,NGC 5466,accreted,False,True,NGC 5466,0,0.012738503625337145
