source,ngc,name,catalog_match_key,vandenberg_feh,age_gyr,age_error_gyr,age_method,figures,independent_age_range_gyr,hb_type,galactocentric_radius_kpc,absolute_v_magnitude,central_escape_velocity_kms,log10_central_velocity_dispersion
VandenBerg et al. 2013,104.0,47 Tuc,NGC 104,-0.76,11.75,0.25,V,14,11.50--11.75,-0.99,7.4,-9.42,54.8,5.061
VandenBerg et al. 2013,288.0,NGC 288,NGC 288,-1.32,11.5,0.38,H,24,,0.98,12.0,-6.75,10.9,2.953
VandenBerg et al. 2013,362.0,NGC 362,NGC 362,-1.3,10.75,0.25,V,13,10.75--11.00,-0.87,9.4,-8.43,44.4,4.938
VandenBerg et al. 2013,1261.0,NGC 1261,NGC 1261,-1.27,10.75,0.25,V,13,10.75--11.25,-0.71,18.1,-7.8,23.6,3.913
VandenBerg et al. 2013,1851.0,NGC 1851,NGC 1851,-1.18,11.0,0.25,V,13,10.75--11.25,-0.32,16.6,-8.33,47.6,5.136
VandenBerg et al. 2013,2808.0,NGC 2808,NGC 2808,-1.18,11.0,0.38,V,13,11.00--11.25,-0.49,11.1,-9.39,62.4,5.07
VandenBerg et al. 2013,3201.0,NGC 3201,NGC 3201,-1.51,11.5,0.38,A,"12,30",11.25--11.75,0.08,8.8,-7.45,17.9,3.599
VandenBerg et al. 2013,4147.0,NGC 4147,NGC 4147,-1.78,12.25,0.25,V,11,12.25--12.50,0.66,21.4,-6.17,14.2,3.886
VandenBerg et al. 2013,4590.0,M 68,NGC 4590,-2.27,12.0,0.25,V,11,12.00,0.17,10.2,-7.37,16.9,3.559
VandenBerg et al. 2013,4833.0,NGC 4833,NGC 4833,-1.89,12.5,0.5,A,30,,0.93,7.0,-8.17,25.0,3.885
VandenBerg et al. 2013,5024.0,M 53,NGC 5024,-2.06,12.25,0.25,V,12,12.25--12.50,0.81,18.4,-8.71,25.8,3.866
VandenBerg et al. 2013,5053.0,NGC 5053,NGC 5053,-2.3,12.25,0.38,A,12,12.25--12.50,0.52,17.8,-6.76,7.2,2.196
VandenBerg et al. 2013,5272.0,M 3,NGC 5272,-1.5,11.75,0.25,V,22,,0.08,12.0,-8.88,32.1,4.254
VandenBerg et al. 2013,5286.0,NGC 5286,NGC 5286,-1.7,12.5,0.38,A,"12,30",11.75--12.25,0.8,8.9,-8.74,42.7,4.628
VandenBerg et al. 2013,5466.0,NGC 5466,NGC 5466,-2.31,12.5,0.25,V,"11,30",12.25--12.50,0.58,16.3,-6.98,8.6,2.453
VandenBerg et al. 2013,5904.0,M 5,NGC 5904,-1.33,11.5,0.25,V,8,11.50--11.75,0.31,6.2,-8.81,37.0,4.457
VandenBerg et al. 2013,5927.0,NGC 5927,NGC 5927,-0.29,10.75,0.38,V,16,10.50--10.75,-1.0,4.6,-7.81,25.4,4.156
VandenBerg et al. 2013,5986.0,NGC 5986,NGC 5986,-1.63,12.25,0.75,A,30,,0.97,4.8,-8.44,33.1,4.259
VandenBerg et al. 2013,6101.0,NGC 6101,NGC 6101,-1.98,12.25,0.5,H,30,,0.84,11.2,-6.94,11.8,2.98
VandenBerg et al. 2013,6121.0,M 4,NGC 6121,-1.18,11.5,0.38,V,13,11.25--11.50,-0.06,5.9,-7.19,20.8,4.07
VandenBerg et al. 2013,6144.0,NGC 6144,NGC 6144,-1.82,12.75,0.5,H,30,,1.0,2.7,-6.85,10.4,2.975
VandenBerg et al. 2013,6171.0,M 107,NGC 6171,-1.03,12.0,0.75,V,13,,-0.73,3.3,-7.12,18.2,3.832
VandenBerg et al. 2013,6205.0,M 13,NGC 6205,-1.58,12.0,0.38,A,"20,22",,0.97,8.4,-8.56,31.7,4.219
VandenBerg et al. 2013,6218.0,M 12,NGC 6218,-1.33,13.0,0.5,A,"24,26",,0.98,4.5,-7.31,21.2,3.961
VandenBerg et al. 2013,6254.0,M 10,NGC 6254,-1.57,11.75,0.38,H,30,,0.98,4.6,-7.48,23.9,4.112
VandenBerg et al. 2013,6304.0,NGC 6304,NGC 6304,-0.37,11.25,0.38,V,16,11.00--11.25,-1.0,2.3,-7.3,28.8,4.656
VandenBerg et al. 2013,6341.0,M 92,NGC 6341,-2.35,12.75,0.25,V,11,12.75--13.25,0.91,9.6,-8.21,35.8,4.618
VandenBerg et al. 2013,6352.0,NGC 6352,NGC 6352,-0.62,10.75,0.38,V,16,10.50--11.00,-1.0,3.3,-6.47,14.6,3.592
VandenBerg et al. 2013,6362.0,NGC 6362,NGC 6362,-1.07,12.5,0.25,V,13,12.25--12.75,-0.58,5.1,-6.95,13.5,3.261
VandenBerg et al. 2013,6366.0,NGC 6366,NGC 6366,-0.59,11.0,0.5,V,16,11.00,-0.97,5.0,-5.74,9.8,3.135
VandenBerg et al. 2013,6397.0,NGC 6397,NGC 6397,-1.99,13.0,0.25,A,30,13.00,0.98,6.0,-6.64,35.9,5.759
VandenBerg et al. 2013,6496.0,NGC 6496,NGC 6496,-0.46,10.75,0.38,V,16,10.50--10.75,-1.0,4.2,-7.2,16.7,3.459
VandenBerg et al. 2013,6535.0,NGC 6535,NGC 6535,-1.79,12.75,0.5,V,32,,1.0,3.9,-4.75,8.2,3.327
